epoch,accuracy,loss,val_accuracy,val_loss
0,0.24520766735076904,2.0672643184661865,0.26003211736679077,1.8411089181900024
1,0.24760383367538452,1.835632562637329,0.26003211736679077,1.82437002658844
2,0.24121405184268951,1.8351407051086426,0.24719101190567017,1.824164867401123
3,0.2563897669315338,1.8333868980407715,0.24719101190567017,1.8251286745071411
4,0.23722045123577118,1.8305939435958862,0.26003211736679077,1.8247061967849731
5,0.2507987320423126,1.8347140550613403,0.26003211736679077,1.82436203956604
6,0.24840255081653595,1.8289880752563477,0.24719101190567017,1.823856234550476
7,0.24600638449192047,1.8297152519226074,0.26003211736679077,1.8235009908676147
8,0.24920128285884857,1.8297487497329712,0.26003211736679077,1.8241335153579712
9,0.2523961663246155,1.8281458616256714,0.26003211736679077,1.8237285614013672
10,0.26038339734077454,1.8272168636322021,0.24719101190567017,1.8241745233535767
11,0.26277956366539,1.8280514478683472,0.26003211736679077,1.8239325284957886
12,0.26038339734077454,1.8288700580596924,0.26003211736679077,1.823967695236206
13,0.26118209958076477,1.8294435739517212,0.26003211736679077,1.8237584829330444
14,0.2563897669315338,1.8271043300628662,0.26003211736679077,1.8234729766845703
15,0.2595846652984619,1.8264721632003784,0.24719101190567017,1.8272638320922852
16,0.25718849897384644,1.8302505016326904,0.26003211736679077,1.8278497457504272
17,0.25479233264923096,1.8289865255355835,0.26003211736679077,1.823176383972168
18,0.26437699794769287,1.8279964923858643,0.24719101190567017,1.8251694440841675
19,0.2468051165342331,1.828804612159729,0.26003211736679077,1.8243564367294312
20,0.2507987320423126,1.8276407718658447,0.26003211736679077,1.823117733001709
21,0.24600638449192047,1.827608585357666,0.26003211736679077,1.825408697128296
22,0.26038339734077454,1.828183889389038,0.26003211736679077,1.8240151405334473
23,0.26038339734077454,1.8289525508880615,0.26003211736679077,1.823631763458252
24,0.24840255081653595,1.8277732133865356,0.26003211736679077,1.822808027267456
25,0.25399360060691833,1.8256924152374268,0.26003211736679077,1.8253146409988403
26,0.26277956366539,1.826512098312378,0.24719101190567017,1.8249515295028687
27,0.24840255081653595,1.8279048204421997,0.26003211736679077,1.8228628635406494
28,0.26038339734077454,1.8268548250198364,0.26003211736679077,1.8234162330627441
29,0.2507987320423126,1.8285691738128662,0.24719101190567017,1.8230262994766235
30,0.24121405184268951,1.8273533582687378,0.26003211736679077,1.8238059282302856
31,0.25,1.8271641731262207,0.26003211736679077,1.825681447982788
32,0.26038339734077454,1.8277667760849,0.26003211736679077,1.8229420185089111
33,0.23961661756038666,1.8267369270324707,0.26003211736679077,1.8246839046478271
34,0.25798723101615906,1.8271938562393188,0.26003211736679077,1.823006510734558
35,0.2531948983669281,1.8276091814041138,0.24719101190567017,1.8234120607376099
36,0.25718849897384644,1.8273050785064697,0.26003211736679077,1.8228358030319214
37,0.25718849897384644,1.8257657289505005,0.24719101190567017,1.8265153169631958
38,0.25399360060691833,1.827526569366455,0.26003211736679077,1.8229081630706787
39,0.26038339734077454,1.826866626739502,0.26003211736679077,1.8235657215118408
